step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
309,270288,4944,0.016425320568978066,1.0,1.0,,,,,,,,,
310,271200,4960,0.016319860685465856,0.9375,0.9375,,,,,,,,,
311,272112,4976,0.015055895282809179,0.875,0.875,,,,,,,,,
312,273024,4992,0.016433781291205086,0.9375,0.9375,,,,,,,,,
313,273680,5008,0.017588237403735434,1.0,1.0,0.01859857101198391,1.0,1.0,,,,,,
314,274592,5024,0.020877111504007808,0.875,0.875,,,,,,,,,
315,275504,5040,0.013692175707183521,1.0,1.0,,,,,,,,,
316,276416,5056,0.015595584959414452,1.0,1.0,,,,,,,,,
317,277200,5072,0.01872931311571686,1.0,1.0,,,,,,,,,
318,277856,5088,0.017156069664824487,1.0,1.0,,,,,,,,,
319,278640,5104,0.021216555390378315,1.0,1.0,,,,,,,,,
320,279552,5120,0.02019842613271448,0.9375,0.9375,,,,,,,,,
321,280336,5136,0.015315283857384352,1.0,1.0,0.015649634546220384,1.0,1.0,,,,,,
322,281120,5152,0.01593212775878868,1.0,1.0,,,,,,,,,
323,281776,5168,0.019103825474060043,1.0,1.0,,,,,,,,,
324,282432,5184,0.016048640021258737,1.0,1.0,,,,,,,,,
325,283344,5200,0.01875686908571883,1.0,1.0,,,,,,,,,
326,284256,5216,0.015110260815217812,1.0,1.0,,,,,,,,,
327,285168,5232,0.024818782516383392,0.9375,0.9375,,,,,,,,,
328,285824,5248,0.01774036440591567,1.0,1.0,,,,,,,,,
329,286736,5264,0.01613343972257602,1.0,1.0,0.016923025580450876,1.0,1.0,,,,,,
330,287648,5280,0.018586059993959587,1.0,1.0,,,,,,,,,
331,288688,5296,0.015325145493166126,1.0,1.0,,,,,,,,,
332,289600,5312,0.018188582322984852,1.0,1.0,,,,,,,,,
333,290384,5328,0.019323750249507346,1.0,1.0,,,,,,,,,
334,291424,5344,0.017440935898449157,0.9375,0.9375,,,,,,,,,
335,292336,5360,0.014259102215244021,1.0,1.0,,,,,,,,,
336,293248,5376,0.017540318216353108,0.9375,0.9375,,,,,,,,,
337,294160,5392,0.01832186185966667,1.0,1.0,0.016842759538716678,1.0,1.0,,,,,,
338,295072,5408,0.01431362564114985,1.0,1.0,,,,,,,,,
339,296112,5424,0.013365160935328363,0.9375,0.9375,,,,,,,,,
340,296768,5440,0.019668297250654176,0.9375,0.9375,,,,,,,,,
341,297680,5456,0.017103731768412445,1.0,1.0,,,,,,,,,
342,298848,5472,0.013955182235144562,1.0,1.0,,,,,,,,,
343,299504,5488,0.02075481223701854,1.0,1.0,,,,,,,,,
344,300160,5504,0.023648745295669644,1.0,1.0,,,,,,,,,
345,301200,5520,0.012675652019944863,1.0,1.0,0.015019660319135743,1.0,1.0,,,,,,
346,302112,5536,0.015816814889883114,0.9375,0.9375,,,,,,,,,
347,302896,5552,0.015124827805160902,1.0,1.0,,,,,,,,,
