step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
193,166672,3088,0.01590189687493096,1.0,1.0,0.018674879976881012,1.0,1.0,,,,,,
194,167456,3104,0.020336480605908116,0.9375,0.9375,,,,,,,,,
195,167984,3120,0.02331726787928758,0.9375,0.9375,,,,,,,,,
196,168768,3136,0.017768406232990138,0.9375,0.9375,,,,,,,,,
197,169808,3152,0.019120924830228887,0.9375,0.9375,,,,,,,,,
198,170592,3168,0.02059614644791594,1.0,1.0,,,,,,,,,
199,171504,3184,0.01687570477310463,1.0,1.0,,,,,,,,,
200,172672,3200,0.0128742188781804,0.875,0.875,,,,,,,,,
201,173328,3216,0.022845275471243726,0.9375,0.9375,0.021700901444906294,1.0,1.0,,,,,,
202,174240,3232,0.018321560290066662,1.0,1.0,,,,,,,,,
203,175024,3248,0.01918453360900382,0.9375,0.9375,,,,,,,,,
204,175936,3264,0.01778285302355881,0.9375,0.9375,,,,,,,,,
205,176720,3280,0.016775744276770484,1.0,1.0,,,,,,,,,
206,177504,3296,0.017591482708184076,1.0,1.0,,,,,,,,,
207,178288,3312,0.01900348752305772,1.0,1.0,,,,,,,,,
208,179200,3328,0.01327418402668749,1.0,1.0,,,,,,,,,
209,179984,3344,0.02075385626542797,1.0,1.0,0.020654458642132265,1.0,1.0,,,,,,
210,180896,3360,0.016063426194497195,1.0,1.0,,,,,,,,,
211,181680,3376,0.018946595275004138,1.0,1.0,,,,,,,,,
212,182720,3392,0.014554513543671951,1.0,1.0,,,,,,,,,
213,183504,3408,0.017730325367590612,1.0,1.0,,,,,,,,,
214,184032,3424,0.02734589570672157,1.0,1.0,,,,,,,,,
215,184944,3440,0.018706884001110292,1.0,1.0,,,,,,,,,
216,185984,3456,0.019762219201498538,1.0,1.0,,,,,,,,,
217,186896,3472,0.016301395499052986,1.0,1.0,0.01693132599746408,1.0,1.0,,,,,,
218,187680,3488,0.01978829441614124,1.0,1.0,,,,,,,,,
219,188720,3504,0.013650259201598446,0.9375,0.9375,,,,,,,,,
220,189504,3520,0.021467361922035296,1.0,1.0,,,,,,,,,
221,190160,3536,0.022132914745022957,1.0,1.0,,,,,,,,,
222,190944,3552,0.020331579534810372,0.9375,0.9375,,,,,,,,,
223,191728,3568,0.017958731175910715,1.0,1.0,,,,,,,,,
224,192640,3584,0.018307355280971445,0.9375,0.9375,,,,,,,,,
225,193552,3600,0.018353797806694112,1.0,1.0,0.018396096150706854,1.0,1.0,,,,,,
226,194208,3616,0.017191623736860208,1.0,1.0,,,,,,,,,
227,194992,3632,0.019086879686190533,0.9375,0.9375,,,,,,,,,
228,195776,3648,0.018315751892352527,1.0,1.0,,,,,,,,,
229,196688,3664,0.018272982388357863,0.9375,0.9375,,,,,,,,,
230,197600,3680,0.019900657507949893,1.0,1.0,,,,,,,,,
231,198384,3696,0.017807571465978073,0.9375,0.9375,,,,,,,,,
232,199040,3712,0.020324215442896844,1.0,1.0,,,,,,,,,
233,199824,3728,0.019741945641592717,0.9375,0.9375,0.016881525869953576,1.0,1.0,,,,,,
234,200480,3744,0.01979378791006002,0.9375,0.9375,,,,,,,,,
235,201136,3760,0.019170757430925393,1.0,1.0,,,,,,,,,
236,202048,3776,0.020457823707367595,1.0,1.0,,,,,,,,,
237,202960,3792,0.019491003978984765,1.0,1.0,,,,,,,,,
238,204128,3808,0.019144057827811155,0.9375,0.9375,,,,,,,,,
239,204912,3824,0.018184710177780852,1.0,1.0,,,,,,,,,
240,205696,3840,0.018634119488823302,1.0,1.0,,,,,,,,,
241,206864,3856,0.01790740156344684,1.0,1.0,0.020220518321844624,1.0,1.0,,,,,,
242,207904,3872,0.012518465504607158,1.0,1.0,,,,,,,,,
243,208816,3888,0.01904716823591136,1.0,1.0,,,,,,,,,
244,209728,3904,0.020314479146942566,0.9375,0.9375,,,,,,,,,
245,210640,3920,0.019835952553617732,1.0,1.0,,,,,,,,,
246,211424,3936,0.01874038916568464,1.0,1.0,,,,,,,,,
247,212336,3952,0.015975691449863164,1.0,1.0,,,,,,,,,
248,212992,3968,0.019352200524272403,1.0,1.0,,,,,,,,,
249,213776,3984,0.019095465956746365,0.8125,0.8125,0.016848058968632423,1.0,1.0,,,,,,
250,214560,4000,0.016760866057572984,1.0,1.0,,,,,,,,,
251,215472,4016,0.013911732678142634,0.9375,0.9375,,,,,,,,,
252,216512,4032,0.01831181953717593,0.875,0.875,,,,,,,,,
253,217168,4048,0.019887262767387316,1.0,1.0,,,,,,,,,
254,218080,4064,0.019926399863749476,1.0,1.0,,,,,,,,,
255,218864,4080,0.022192924412891845,0.9375,0.9375,,,,,,,,,
256,219776,4096,0.018315129259232007,1.0,1.0,,,,,,,,,
257,220560,4112,0.017750310206135017,1.0,1.0,0.017950863194156088,1.0,1.0,,,,,,
258,221344,4128,0.019049661687338213,1.0,1.0,,,,,,,,,
259,222128,4144,0.01933972884653158,0.9375,0.9375,,,,,,,,,
260,223168,4160,0.016460201578439464,1.0,1.0,,,,,,,,,
261,224080,4176,0.018639947355062005,0.9375,0.9375,,,,,,,,,
262,224992,4192,0.01858684658911406,0.9375,0.9375,,,,,,,,,
263,225904,4208,0.016889850167493826,0.9375,0.9375,,,,,,,,,
264,226816,4224,0.020235058337286813,1.0,1.0,,,,,,,,,
265,227600,4240,0.01925865474148575,0.9375,0.9375,0.02361832157681136,1.0,1.0,,,,,,
266,228512,4256,0.020072344997294923,1.0,1.0,,,,,,,,,
267,229424,4272,0.016539956923855195,0.9375,0.9375,,,,,,,,,
268,230336,4288,0.01681054703654082,1.0,1.0,,,,,,,,,
269,231120,4304,0.020195537804299214,1.0,1.0,,,,,,,,,
270,232032,4320,0.018349165090652864,1.0,1.0,,,,,,,,,
271,233072,4336,0.01442683930769686,1.0,1.0,,,,,,,,,
272,233984,4352,0.0157000946781283,0.9375,0.9375,,,,,,,,,
273,234896,4368,0.01377038389074597,1.0,1.0,0.017643462308947498,1.0,1.0,,,,,,
274,235680,4384,0.018944316074698975,1.0,1.0,,,,,,,,,
275,236720,4400,0.015459898445346775,1.0,1.0,,,,,,,,,
276,237504,4416,0.017490819481285006,1.0,1.0,,,,,,,,,
277,238288,4432,0.019071765700647822,1.0,1.0,,,,,,,,,
278,239200,4448,0.01626892460347778,1.0,1.0,,,,,,,,,
279,239984,4464,0.018258675953219856,0.9375,0.9375,,,,,,,,,
280,240896,4480,0.022487634110440524,0.9375,0.9375,,,,,,,,,
281,241680,4496,0.014481589108185254,1.0,1.0,0.016575776000887325,0.9375,0.9375,,,,,,
282,242336,4512,0.01961541490775994,0.9375,0.9375,,,,,,,,,
283,243120,4528,0.02050214588240129,1.0,1.0,,,,,,,,,
284,243904,4544,0.021640997405301666,0.9375,0.9375,,,,,,,,,
285,244432,4560,0.01697930993030404,1.0,1.0,,,,,,,,,
286,245344,4576,0.018586284170388986,1.0,1.0,,,,,,,,,
287,246384,4592,0.014733309367224907,1.0,1.0,,,,,,,,,
288,247424,4608,0.016628148345979133,1.0,1.0,,,,,,,,,
289,248336,4624,0.018880901337613158,1.0,1.0,0.017933544335403902,1.0,1.0,,,,,,
290,248992,4640,0.01810001250749167,0.9375,0.9375,,,,,,,,,
291,250032,4656,0.016590737393153105,0.9375,0.9375,,,,,,,,,
292,250944,4672,0.017494649389736352,1.0,1.0,,,,,,,,,
293,251984,4688,0.015225842462595483,0.875,0.875,,,,,,,,,
294,252640,4704,0.021310526145128787,0.9375,0.9375,,,,,,,,,
295,253296,4720,0.020452568655719237,1.0,1.0,,,,,,,,,
296,254080,4736,0.020105437650960123,0.9375,0.9375,,,,,,,,,
297,254864,4752,0.020318236869925194,1.0,1.0,0.020593643631538774,1.0,1.0,,,,,,
298,255776,4768,0.0182839509107289,1.0,1.0,,,,,,,,,
299,256688,4784,0.017701970086026666,0.9375,0.9375,,,,,,,,,
300,257600,4800,0.01951031151658238,1.0,1.0,,,,,,,,,
301,258384,4816,0.018639483178369148,0.9375,0.9375,,,,,,,,,
302,259424,4832,0.018207520683158764,1.0,1.0,,,,,,,,,
303,260208,4848,0.018652823944562084,0.9375,0.9375,,,,,,,,,
304,260864,4864,0.01696453731605544,1.0,1.0,,,,,,,,,
305,261520,4880,0.018969019175060484,0.9375,0.9375,0.02315710009734039,1.0,1.0,,,,,,
